epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.2877,0.84717,0.5693,1.15985,0.89711,0.9289,0.91339,0.78323,0.60143,0.62438,1.01702,0.0700584,0.00332685,0.00332685
2,153.264,0.93038,0.64914,1.21764,0.81695,0.92026,0.83654,0.67064,0.71424,1.24382,1.10848,0.0399924,0.00659425,0.00659425
3,224.433,0.90124,0.61477,1.20552,0.90282,0.93818,0.89663,0.76889,0.58823,0.63159,1.00859,0.00986049,0.00979564,0.00979564
4,296.094,0.87572,0.59361,1.18477,0.89892,0.90995,0.9025,0.79357,0.58885,0.60546,1.00055,0.009703,0.009703,0.009703
5,367.762,0.82955,0.56521,1.16169,0.91536,0.93001,0.92049,0.81261,0.53893,0.53027,0.97695,0.009604,0.009604,0.009604
6,439.272,0.8192,0.55413,1.15059,0.92122,0.93405,0.92481,0.81169,0.56914,0.46036,0.97256,0.009505,0.009505,0.009505
7,510.87,0.80889,0.5417,1.14973,0.94389,0.92219,0.92697,0.82701,0.52863,0.42986,0.96905,0.009406,0.009406,0.009406
8,582.456,0.78444,0.52703,1.13089,0.93496,0.93073,0.93351,0.83474,0.51274,0.43215,0.95564,0.009307,0.009307,0.009307
9,653.335,0.77368,0.51608,1.12223,0.91008,0.92611,0.91684,0.81598,0.51387,0.47979,0.95437,0.009208,0.009208,0.009208
10,724.654,0.75915,0.50335,1.11104,0.93272,0.93777,0.92947,0.82718,0.56227,0.5126,0.97656,0.009109,0.009109,0.009109
11,796.439,0.75629,0.50801,1.11427,0.92382,0.92528,0.93011,0.84612,0.47134,0.40943,0.93412,0.00901,0.00901,0.00901
12,867.884,0.76058,0.5012,1.11728,0.92564,0.92436,0.93307,0.85216,0.47064,0.45878,0.93754,0.008911,0.008911,0.008911
13,939.369,0.74806,0.49597,1.112,0.89159,0.92907,0.91935,0.83524,0.48969,0.48474,0.94087,0.008812,0.008812,0.008812
14,1011.02,0.72643,0.47939,1.09592,0.91088,0.92527,0.91456,0.81478,0.51453,0.46398,0.96187,0.008713,0.008713,0.008713
15,1082.57,0.7358,0.48457,1.11027,0.91666,0.92751,0.9235,0.83505,0.5142,0.45819,0.96666,0.008614,0.008614,0.008614
16,1154.07,0.72435,0.47355,1.09533,0.94029,0.9346,0.93039,0.83284,0.51187,0.41908,0.96399,0.008515,0.008515,0.008515
17,1225.85,0.72427,0.47008,1.09011,0.91852,0.92634,0.92168,0.8199,0.49003,0.42891,0.93822,0.008416,0.008416,0.008416
18,1297.36,0.73686,0.47344,1.10227,0.93532,0.93447,0.93,0.84229,0.47846,0.38068,0.93737,0.008317,0.008317,0.008317
19,1368.74,0.7169,0.45933,1.08852,0.93787,0.93471,0.92288,0.84196,0.4594,0.40196,0.92539,0.008218,0.008218,0.008218
20,1440.02,0.70199,0.45843,1.07699,0.94116,0.93954,0.93824,0.8568,0.46537,0.3719,0.93497,0.008119,0.008119,0.008119
21,1511.98,0.68292,0.44902,1.06655,0.93389,0.93328,0.92233,0.83063,0.49986,0.40826,0.9479,0.00802,0.00802,0.00802
22,1583.45,0.68251,0.44208,1.06632,0.90865,0.92338,0.9108,0.82049,0.49688,0.44356,0.98526,0.007921,0.007921,0.007921
23,1654.88,0.69399,0.45265,1.07306,0.92646,0.92908,0.92801,0.84591,0.46142,0.38974,0.92745,0.007822,0.007822,0.007822
24,1726.26,0.68962,0.44437,1.06668,0.92884,0.93083,0.92518,0.83857,0.47961,0.41782,0.94132,0.007723,0.007723,0.007723
25,1797.63,0.69662,0.4431,1.08003,0.94086,0.93673,0.92627,0.84156,0.46558,0.4036,0.94609,0.007624,0.007624,0.007624
26,1868.92,0.68342,0.43718,1.0663,0.94439,0.93594,0.93071,0.85151,0.46356,0.38217,0.92478,0.007525,0.007525,0.007525
27,1940.53,0.67568,0.4269,1.06094,0.9338,0.93689,0.92672,0.84405,0.45701,0.36133,0.95531,0.007426,0.007426,0.007426
28,2011.93,0.67051,0.42777,1.06009,0.93392,0.93545,0.92893,0.84628,0.49648,0.42306,0.95307,0.007327,0.007327,0.007327
29,2083.14,0.66152,0.42346,1.05523,0.93595,0.93887,0.93771,0.86386,0.45703,0.39445,0.93678,0.007228,0.007228,0.007228
30,2154.45,0.66788,0.4317,1.06029,0.94556,0.93895,0.92836,0.85635,0.44266,0.35597,0.92172,0.007129,0.007129,0.007129
31,2226.08,0.66357,0.42412,1.05542,0.91692,0.92508,0.92178,0.84716,0.45772,0.45578,0.92051,0.00703,0.00703,0.00703
32,2297.49,0.6508,0.42214,1.05128,0.93577,0.93559,0.93297,0.86035,0.43012,0.35677,0.91671,0.006931,0.006931,0.006931
33,2368.63,0.64422,0.41545,1.04801,0.93281,0.93247,0.92105,0.84536,0.44318,0.36239,0.91943,0.006832,0.006832,0.006832
34,2440.71,0.63939,0.40993,1.03515,0.9405,0.93615,0.93261,0.86043,0.44448,0.36986,0.92547,0.006733,0.006733,0.006733
35,2512.21,0.65358,0.42023,1.04877,0.9115,0.92976,0.92431,0.84887,0.44913,0.42614,0.93931,0.006634,0.006634,0.006634
36,2583.69,0.64507,0.41148,1.04151,0.92653,0.93042,0.9265,0.85546,0.44829,0.38716,0.94266,0.006535,0.006535,0.006535
37,2655.35,0.65303,0.41541,1.04518,0.93074,0.9375,0.93108,0.85885,0.45606,0.36589,0.93126,0.006436,0.006436,0.006436
38,2727.05,0.64114,0.41187,1.04072,0.91847,0.92471,0.92065,0.85046,0.44122,0.39723,0.9172,0.006337,0.006337,0.006337
39,2798.22,0.63697,0.40374,1.04099,0.94005,0.93429,0.92965,0.84251,0.48447,0.40374,0.93166,0.006238,0.006238,0.006238
40,2869.66,0.62992,0.40284,1.02458,0.93197,0.93952,0.9245,0.84781,0.43951,0.3983,0.91639,0.006139,0.006139,0.006139
41,2941.14,0.62328,0.40102,1.02942,0.90725,0.93549,0.93422,0.8691,0.41578,0.38863,0.90028,0.00604,0.00604,0.00604
42,3013,0.63426,0.40055,1.03033,0.92187,0.92349,0.92139,0.85424,0.42094,0.3894,0.91436,0.005941,0.005941,0.005941
43,3084.34,0.63002,0.40356,1.04124,0.92166,0.92527,0.91822,0.84967,0.44498,0.41178,0.91137,0.005842,0.005842,0.005842
44,3155.94,0.61733,0.39351,1.03431,0.93482,0.92899,0.93032,0.85744,0.42698,0.35928,0.91613,0.005743,0.005743,0.005743
45,3227.37,0.61593,0.39385,1.03617,0.92887,0.93484,0.92015,0.85129,0.43193,0.37605,0.91375,0.005644,0.005644,0.005644
46,3298.39,0.62436,0.39994,1.03496,0.93066,0.92933,0.92487,0.85015,0.43982,0.40656,0.92749,0.005545,0.005545,0.005545
47,3369.91,0.6186,0.39289,1.02668,0.93892,0.93379,0.92509,0.86059,0.43075,0.35495,0.91395,0.005446,0.005446,0.005446
48,3441.74,0.60977,0.39328,1.02028,0.93238,0.93134,0.93296,0.86552,0.41609,0.37139,0.90586,0.005347,0.005347,0.005347
49,3512.91,0.60884,0.38454,1.02562,0.93465,0.9287,0.92584,0.85934,0.41372,0.35338,0.90037,0.005248,0.005248,0.005248
50,3584.07,0.61422,0.38586,1.02474,0.92567,0.93724,0.92245,0.85454,0.4395,0.37009,0.92038,0.005149,0.005149,0.005149
51,3655.75,0.61054,0.39016,1.02529,0.91443,0.92916,0.92161,0.85672,0.43565,0.4076,0.91372,0.00505,0.00505,0.00505
52,3727.14,0.60443,0.38013,1.02264,0.94087,0.92282,0.91675,0.85196,0.42328,0.36554,0.9044,0.004951,0.004951,0.004951
53,3798.29,0.60158,0.38205,1.01747,0.93256,0.9273,0.92775,0.8601,0.41992,0.35207,0.89933,0.004852,0.004852,0.004852
54,3870.25,0.5882,0.37455,1.00985,0.94199,0.93169,0.93649,0.87472,0.41513,0.32132,0.89642,0.004753,0.004753,0.004753
55,3941.79,0.59797,0.37517,1.01356,0.93875,0.93291,0.9268,0.86029,0.44348,0.36354,0.91942,0.004654,0.004654,0.004654
56,4013.16,0.59382,0.37353,1.00689,0.91666,0.93062,0.92702,0.86752,0.41834,0.38262,0.9048,0.004555,0.004555,0.004555
57,4084.71,0.59661,0.37649,1.01773,0.939,0.93945,0.92483,0.85606,0.4115,0.35341,0.90954,0.004456,0.004456,0.004456
58,4156.41,0.59646,0.37294,1.01983,0.93282,0.92826,0.92656,0.85466,0.44144,0.39921,0.91786,0.004357,0.004357,0.004357
59,4227.7,0.60116,0.3775,1.01209,0.92414,0.93827,0.93009,0.85973,0.41888,0.44861,0.91179,0.004258,0.004258,0.004258
60,4299.03,0.58474,0.37168,1.0086,0.91898,0.93758,0.92495,0.86165,0.40759,0.39204,0.91075,0.004159,0.004159,0.004159
61,4370.39,0.58743,0.3688,1.01024,0.93579,0.93078,0.9313,0.8667,0.41422,0.33458,0.91075,0.00406,0.00406,0.00406
62,4441.51,0.58243,0.36369,1.01153,0.94755,0.93856,0.92863,0.86731,0.42004,0.33583,0.91046,0.003961,0.003961,0.003961
63,4512.69,0.58143,0.36176,1.00548,0.93113,0.93528,0.93187,0.86978,0.41055,0.3249,0.91118,0.003862,0.003862,0.003862
64,4584.42,0.58287,0.36622,1.01087,0.9312,0.93609,0.93452,0.86737,0.41807,0.34978,0.91421,0.003763,0.003763,0.003763
65,4655.86,0.57903,0.36239,1.00916,0.94237,0.93861,0.93157,0.87226,0.41822,0.33398,0.92053,0.003664,0.003664,0.003664
66,4727.15,0.56779,0.35537,1.00336,0.93553,0.93914,0.9346,0.87536,0.41011,0.30892,0.91311,0.003565,0.003565,0.003565
67,4798.54,0.57569,0.36112,1.00487,0.94679,0.93628,0.93574,0.87394,0.42674,0.30832,0.91467,0.003466,0.003466,0.003466
68,4870.19,0.5664,0.35632,0.99379,0.93968,0.93533,0.92779,0.86414,0.42102,0.32034,0.92485,0.003367,0.003367,0.003367
69,4941.25,0.5689,0.35498,1.00566,0.93555,0.92993,0.93117,0.8746,0.3946,0.33333,0.90015,0.003268,0.003268,0.003268
70,5012.38,0.57296,0.35671,1.01161,0.94528,0.93669,0.9303,0.86932,0.41835,0.33682,0.93461,0.003169,0.003169,0.003169
71,5084,0.56356,0.35236,0.99754,0.94212,0.93921,0.93208,0.88032,0.39546,0.30839,0.8965,0.00307,0.00307,0.00307
72,5155.3,0.5553,0.34694,0.99144,0.94466,0.93765,0.93181,0.87216,0.40889,0.31857,0.90898,0.002971,0.002971,0.002971
73,5226.61,0.56262,0.34902,0.99141,0.93637,0.93803,0.9289,0.86714,0.43796,0.32536,0.93527,0.002872,0.002872,0.002872
74,5298.24,0.56191,0.35287,0.99432,0.92859,0.94021,0.93013,0.87559,0.41665,0.31874,0.92036,0.002773,0.002773,0.002773
75,5369.96,0.54677,0.33534,0.99178,0.94439,0.93855,0.9366,0.87426,0.40615,0.29835,0.9134,0.002674,0.002674,0.002674
76,5441.3,0.55094,0.34357,0.98971,0.91947,0.92573,0.92545,0.86447,0.40093,0.37617,0.89685,0.002575,0.002575,0.002575
77,5512.31,0.5514,0.34842,0.99335,0.91914,0.92932,0.93476,0.87902,0.39314,0.34787,0.89737,0.002476,0.002476,0.002476
78,5583.86,0.5507,0.34135,0.99932,0.92044,0.92799,0.93687,0.87623,0.40593,0.33432,0.90826,0.002377,0.002377,0.002377
79,5655.26,0.54917,0.34234,0.98896,0.93807,0.93889,0.94091,0.88175,0.41036,0.30764,0.91748,0.002278,0.002278,0.002278
80,5726.57,0.54585,0.34151,0.98213,0.93478,0.93238,0.9401,0.87886,0.40215,0.30974,0.91633,0.002179,0.002179,0.002179
81,5798.28,0.54572,0.33981,0.9863,0.92652,0.92679,0.93623,0.87844,0.40698,0.32331,0.91418,0.00208,0.00208,0.00208
82,5869.67,0.53752,0.33446,0.97663,0.93699,0.936,0.93643,0.87821,0.40856,0.32101,0.91657,0.001981,0.001981,0.001981
83,5940.9,0.54076,0.33525,0.98243,0.93231,0.93069,0.93563,0.8788,0.3852,0.30896,0.89011,0.001882,0.001882,0.001882
84,6012.54,0.53458,0.33354,0.97993,0.93927,0.93297,0.9398,0.88194,0.39446,0.2974,0.89901,0.001783,0.001783,0.001783
85,6084.28,0.53324,0.32974,0.98144,0.93668,0.93151,0.93476,0.8768,0.41551,0.31913,0.92057,0.001684,0.001684,0.001684
86,6155.35,0.53488,0.331,0.98085,0.9373,0.9346,0.93074,0.87365,0.40233,0.31046,0.91036,0.001585,0.001585,0.001585
87,6226.78,0.52797,0.32631,0.97276,0.92775,0.93491,0.93252,0.87562,0.39466,0.32342,0.894,0.001486,0.001486,0.001486
88,6298.47,0.52246,0.32594,0.97289,0.94251,0.93333,0.93249,0.87735,0.38342,0.30576,0.88659,0.001387,0.001387,0.001387
89,6369.79,0.52351,0.32663,0.97148,0.94117,0.9332,0.93358,0.87606,0.39733,0.30996,0.9056,0.001288,0.001288,0.001288
90,6440.81,0.51925,0.32168,0.96906,0.94119,0.93288,0.93447,0.87958,0.40118,0.3023,0.91981,0.001189,0.001189,0.001189
